Name,Geopolitically very distant,Geopolitically distant,Geopolitically close
Q1 2022,0.0,0.0,0.0
Q2 2022,-0.8,-0.5,0.9
Q3 2022,-1.7,-0.3,1.2
Q4 2022,-4.0,-1.1,3.1
Q1 2023,-2.4,-1.8,2.7
Q2 2023,-3.9,-1.8,3.6
Q3 2023,-5.1,-4.4,6.2
